StartTime,Duration,Frequency,NoteName
0,0.369125,219.363574813812,G#3
0.369125,1.53325,221.733105078666,G#3
1.902375,0.434375,220.943613348677,G#3
2.33675,0.46525,221.326886919151,G#3
2.802,0.443125,588.832487309645,C#5
3.245125,0.4915,197.304856343758,F#3
3.736625,0.432625,392.836510687464,F#4
4.16925,0.44225,174.060469059056,E3
4.6115,0.524875,175.238095238095,E3
5.136375,0.796,174.59569791176,E3
5.932375,0.198375,246.851385390428,A#3
6.13075,0.97075,658.169177288528,D#5
7.1015,0.8025,220.526397757359,G#3
7.904,0.67025,222.263658400149,G#3
8.57425,0.478625,221.409921671018,G#3
9.052875,0.50925,441.717791411043,G#4
9.562125,0.394875,220.253164556962,G#3
9.957,0.248125,394.763343403827,F#4
10.205125,0.232125,658.772874058127,D#5
10.43725,0.217625,656.716417910448,D#5
10.654875,0.256,659.834065397755,D#5
10.910875,0.4795,262.705238467553,B4
11.390375,0.464,247.778077026663,A#3
11.854375,0.52225,292.89303661163,C#4
12.376625,0.463125,261.198057204533,B4
12.83975,0.533,174.443141852286,E3
13.37275,0.51625,220.76978939724,G#3
13.889,0.529375,220.963172804533,G#3
14.418375,0.621375,222.043443282381,G#3
15.03975,1.344125,624.88376418077,D5
